qid,category,confidence,question
test_0001,READING,1.0,Đoạn thông tin: [1] Tiêu đề: Ném đá Nội dung: Thạch hình là một phương pháp tử hình trong đó một nhóm người ném đá vào người cho đến khi đối tượng chết vì chấn thương cùn. Nó đã được chứng thực như một hình thức trừng phạt cho những hành vi sai trái nghiêm trọng từ thời cổ đại. Việc áp dụng nó trong...
test_0002,MATH,0.95,"Nếu bảng cầu của một sản phẩm cho thấy tại mức giá 5 đô la, lượng cầu là 150 đơn vị, và tại mức giá 3 đô la, lượng cầu là 250 đơn vị, thì độ co giãn của cầu theo giá giữa hai điểm này là bao nhiêu?..."
test_0003,READING,1.0,"Đoạn thông tin: Tiêu đề: Friedrich Wilhelm I của Phổ Nội dung: Friedrich Wilhelm I, tên thật là Friedrich Wilhelm von Hohenzollern, (14 tháng 8 năm 1688 – 31 tháng 5 năm 1740), phiên âm tiếng Việt là Phriđrích I Vinhem là một thành viên của Hoàng tộc nhà Hohenzollern. Ông là vị vua thứ hai của nước ..."
test_0004,READING,1.0,"Đoạn thông tin: Title: Trận Höchstädt lần thứ hai Content: Trận Höchstädt hay còn được gọi là trận Blindheim hoặc là trận Blenheim theo cách gọi của người Anh, diễn ra vào ngày 13 tháng 8 năm 1704, là một trận đánh lớn trong cuộc chiến tranh Kế vị Tây Ban Nha. Vua Pháp là Louis XIV đã quyết định tun..."
test_0005,READING,1.0,Đoạn thông tin: [1] Tiêu đề: Yaroslav. Một ngàn năm trước Nội dung: Yaroslav. Một ngàn năm trước (tiếng Nga: Ярослав. Тысячу лет назад) là một bộ phim về sự hình thành Yaroslavl. Yaroslavl là một đô thị cổ kính nằm trên lộ trình du lịch nổi tiếng Vành đai vàng của nước Nga và trong năm 2010 kỷ niệm ...
test_0006,MATH,1.0,"Xét một phản ứng hóa học trong đó nồng độ của chất phản ứng $ B $ giảm theo thời gian theo phương trình vi phân $ \frac{dB}{dt} = -k B $, trong đó $ k $ là một hằng số dương. Nếu nồng độ ban đầu của $ B $ là $ B_0 $, thì nồng độ của $ B $ tại thời điểm $ t $ là bao nhiêu?..."
test_0007,KNOWLEDGE,0.9,Một trong các biểu hiện của biến đổi khí hậu là gì?...
test_0008,MATH,0.95,"Trong một năm nhất định, GDP danh nghĩa của một quốc gia là 500 tỷ USD và GDP thực tế là 400 tỷ USD. Nếu chỉ số giá GDP của năm trước là 100, thì tỷ lệ lạm phát cho năm hiện tại là bao nhiêu?..."
test_0009,MATH,0.95,"Một bể chứa hình trụ đang được đổ đầy nước với tốc độ không đổi là 50 centimet khối mỗi giây. Khi độ cao của nước trong bể là 10 cm, bán kính của bể là 5 cm. Hỏi tốc độ tăng của độ cao nước là bao nhiêu?..."
test_0010,KNOWLEDGE,0.9,Giải pháp nào sau đây được đề xuất để xử lý lỗi xác thực khi nộp hồ sơ thẩm duyệt thiết kế về phòng cháy và chữa cháy?...
test_0011,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: Bộ Sả Nội dung: Bộ Sả (danh pháp khoa học: Coraciiformes) theo phân loại truyền thống là một nhóm của các loài chim tương tự như chim sẻ thường là có bộ lông lòe loẹt, bao gồm bói cá, trảu, sả, đầu rìu và hồng hoàng. Chúng nói chung có các ngón chân dính vào nhau, với ba..."
test_0012,MATH,0.95,Khoa học gia nào trong số những người sau đây đã đóng vai trò quan trọng nhưng thường bị bỏ qua trong quá trình phát triển lập trình máy tính thông qua công việc của họ trên các máy tính đầu tiên?...
test_0013,MATH,0.95,Một bể hình trụ đang được đổ đầy nước với tốc độ không đổi là 20 cm³/s. Bán kính của bể là 5 cm. Hỏi tốc độ thay đổi chiều cao của mực nước trong bể khi chiều cao là 10 cm là bao nhiêu?...
test_0014,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: Arles, Các đài kỷ niệm Romanesque và La Mã Nội dung: Các đài kỷ niệm Romanesque và La Mã ở Arles là tập hợp các di tích nằm ở trung tâm thành phố Arles, miền nam nước Pháp đã được UNESCO công nhận là Di sản thế giới từ năm 1981. Arles là một ví dụ tốt về sự thích nghi củ..."
test_0015,KNOWLEDGE,0.9,Bạn nên làm gì nếu muốn có danh thiếp từ một người chưa từng đưa danh thiếp?...
test_0016,MATH,1.0,"Xét các phản ứng sau: 1. $ \text{X} \rightarrow \text{Y} $ với $ \Delta H_1 $ 2. $ \text{Y} \rightarrow \text{Z} $ với $ \Delta H_2 $ 3. $ \text{X} \rightarrow \text{Z} $ với $ \Delta H_3 $ Biết rằng $ \Delta H_1 = -80 \, \text{kJ/mol} $ và $ \Delta H_2 = -30 \, \text{kJ/mol} $, giá trị của $ \Delta..."
test_0017,READING,1.0,Đoạn thông tin: Setter Setter là một giống chó săn thể thao chuyên dùng vào mục đích săn chim và gà đồng trên đồng cỏ rộng lớn. Với bộ lông óng mượt và dài trùm kín lên cơ thể tạo cho chúng vẻ quy phái và thường làm chó cảnh nhưng nó còn có khả năng săn bắt tốt. Những giống chó này đã được chọn nuôi...
test_0018,KNOWLEDGE,0.9,Giành quyền lực chính trị được hiểu là:...
test_0019,KNOWLEDGE,0.9,Phương pháp nào hiệu quả nhất để pháp nhân thương mại tiếp tục hoạt động khi đã bị đình chỉ vĩnh viễn?...
test_0020,MATH,1.0,"Xét một dãy các biến ngẫu nhiên độc lập và có cùng phân phối $ X_1, X_2, \ldots, X_n $, trong đó mỗi $ X_i $ có thể nhận giá trị trong tập $\{1, 2, \ldots, k\}$ với xác suất bằng nhau. Định nghĩa biến ngẫu nhiên $ Y $ là số lượng các giá trị khác nhau xuất hiện trong $ X_1, X_2, \ldots, X_n $. Giá t..."
test_0021,MATH,1.0,"Một điện trở có điện trở $ R $ được nối với nguồn điện áp $ V $. Dòng điện chạy qua điện trở là $ I $. Điện trở sau đó được cắt thành hai phần bằng nhau, và cả hai phần được nối song song với cùng nguồn điện áp $ V $. Nếu dòng điện chạy qua tổ hợp song song là $ I' $, thì phát biểu nào sau đây là đú..."
test_0022,KNOWLEDGE,0.9,"Khi đổi căn cước do thay đổi địa chỉ đăng ký thường trú tại tỉnh Cà Mau, người dân cần nộp những giấy tờ nào?..."
test_0023,READING,1.0,"Đoạn thông tin: -- Đoạn văn 1 -- Tiêu đề: Giao phối lựa chọn Nội dung: Giao phối lựa chọn (""Assortative mating"") hay còn gọi là giao phối chọn lọc (""positive assortative"") hay còn gọi là giao phối cùng loại (""homogamy"") là một mô hình trong hệ thống giao phối và một hình thức chọn lọc giới tính theo..."
test_0024,KNOWLEDGE,0.9,"Làm thế nào để chủ trì, tham mưu ban hành văn bản có nội dung trái quy định của Đảng và pháp luật của Nhà nước?..."
test_0025,KNOWLEDGE,0.9,Khối lượng dung dịch NaOH 10% cần để trung hoà 200 ml dung dịch HCl 1M là:...
test_0026,MATH,0.95,Câu hỏi nào sau đây đúng về tần suất tính lãi kép?...
test_0027,READING,1.0,"Đoạn thông tin: Nhiễm trùng Nhiễm trùng (infection) là sự xâm nhập của mầm bệnh vào cơ thể và phản ứng của cơ thể đối với thương tổn do mầm bệnh gây nên . Quá trình nhiễm trùng là quá trình vi sinh vật gây bệnh xâm nhập và nhân lên trong (hoặc trên) cơ thể vật chủ hay cơ thể cảm nhiễm, hoặc qua hàng..."
test_0028,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: Amnesiac Nội dung: Amnesiac là album phòng thu thứ năm của ban nhạc rock người Anh Radiohead. Nó được sản xuất bởi Nigel Godrich và phát hành ngày 5 tháng 6 năm 2001 qua Parlophone. Thu âm vào cùng thời kỳ với album trước, Kid A (2000), Amnesiac kết hợp các yếu tố nhạc đ..."
test_0029,KNOWLEDGE,0.9,Giáo dục đóng vai trò:...
test_0030,KNOWLEDGE,0.9,Người đầu tiên truyền thừa tại chùa An Phú là ai?...
test_0031,MATH,1.0,"Giả sử $ x $ và $ y $ là các số nguyên sao cho $ x \equiv 2 \pmod{5} $ và $ y \equiv 3 \pmod{5} $. Xét biểu thức $ x^2y + xy^2 $. Trong các lựa chọn sau, điều nào đúng về giá trị của $ x^2y + xy^2 $ theo modulo 5?..."
test_0032,READING,1.0,"Đoạn thông tin: -- Document 1 -- Title: Hà Nội Content: Nhiệt độ trung bình mùa đông: 16,5 °C (lúc thấp xuống tới 2,7 °C). Trung bình mùa hạ: 29,5 °C (lúc cao nhất lên tới 43,7 °C). Nhiệt độ trung bình cả năm là 23 °C, lượng mưa trung bình hàng năm vào mức 1.800mm đến 2.000mm. Vào tháng 5 năm 1926, ..."
test_0033,KNOWLEDGE,0.9,Nhiệm vụ nào sau đây KHÔNG thuộc khoa học xã hội?...
test_0034,MATH,0.95,Một doanh nghiệp trong thị trường cạnh tranh có hàm tổng chi phí (TC) được cho bởi TC = 100 + 5Q + 0.5Q^2. Chi phí biến đổi trung bình (AVC) tối thiểu tại điểm đóng cửa là bao nhiêu?...
test_0035,KNOWLEDGE,0.9,"Chọn phương án đúng trả lời cho câu hỏi sau: Cách mạng giải phóng dân tộc trong thời đại mới phải do Đảng Cộng sản lãnh đạo, để:..."
test_0036,MATH,1.0,"Xét hàm số $ g(x) = 2x^2 - 3x + 1 $. Nếu chúng ta thực hiện phép biến đổi $ x \to x - 2 $ đối với $ g(x) $, đa thức kết quả là gì?..."
test_0037,MATH,1.0,"Một chiếc tàu vũ trụ đang di chuyển với tốc độ $ v = 0.6c $, trong đó $ c $ là tốc độ ánh sáng. Hỏi hệ số giãn nở thời gian $ \gamma $ của chiếc tàu vũ trụ so với một quan sát viên đứng yên là bao nhiêu?..."
test_0038,KNOWLEDGE,0.9,Theo Luật Bảo vệ môi trường 2020 thì có bao nhiêu nguyên tắc bảo vệ môi trường?...
test_0039,READING,1.0,"Đoạn thông tin: -- Đoạn văn 1 -- Tiêu đề: Nội dung: Tổ chức Hiệp ước Bắc Đại Tây Dương (tiếng Anh: North Atlantic Treaty Organization, NATO; tiếng Pháp: Organisation du traité de l'Atlantique nord, OTAN) là một liên minh quân sự dựa trên Hiệp ước Bắc Đại Tây Dương được ký kết vào ngày 4 tháng 4 năm ..."
test_0040,READING,1.0,"Đoạn thông tin: Tiêu đề: Ali Hassan al-Majid Nội dung: Ali Hassan al-Majid (tiếng Ả Rập: علي حسن عبد المجيد التكريتي, Latin hóa: ʿAlī Ḥasan ʿAbd al-Majīd al-Tikrītī; 30 tháng 11, 1941 – 25 tháng 1, 2010) là cựu bộ trưởng Bộ quốc phòng Iraq, thành viên đảng Ba'ath, bộ trưởng nội vụ, chỉ huy quân sự v..."
test_0041,KNOWLEDGE,0.9,"Theo Tư tưởng Hồ Chí Minh, lực lượng cách mạng chủ yếu được hình thành từ đâu?..."
test_0042,MATH,0.95,"Một doanh nghiệp có hàm sản xuất Q = 2K^0.5L^0.5 và đang sản xuất tại điểm A (4,16) trên đường đẳng lượng sản xuất. Điểm nào trong các điểm sau nằm trên đường đẳng lượng với mức sản lượng bằng một nửa?..."
test_0043,MATH,1.0,Một nhà nghiên cứu đang kiểm định giả thuyết không $ H_0: \mu = 50 $ đối với giả thuyết thay thế $ H_1: \mu > 50 $ bằng cách sử dụng một mẫu có kích thước $ n = 36 $ từ một quần thể có phân phối chuẩn với phương sai chưa biết. Giá trị trung bình mẫu là $ \bar{x} = 53 $ và độ lệch chuẩn mẫu là $ s = ...
test_0044,KNOWLEDGE,0.9,Yếu tố nào là cốt lõi giúp công nghiệp văn hóa tạo ra giá trị kinh tế?...
test_0045,READING,1.0,"Đoạn thông tin: Nguyễn Bảo Trị Nguyễn Bảo Trị (sinh năm 1929) nguyên là tướng lĩnh bộ binh của Quân lực Việt Nam Cộng hòa, cấp bậc Trung tướng. Ông xuất thân từ khóa đầu tiên và cũng là khóa duy nhất ở trường sĩ quan trừ bị do Quốc gia Việt Nam mở ra tại miền bắc Việt Nam. Tốt nghiệp được chọn về đơ..."
test_0046,KNOWLEDGE,0.9,Nguyễn Ái Quốc đã mở nhiều lớp huấn luyện đào tạo cán bộ cho cách mạng Việt Nam ở đâu...
test_0047,READING,1.0,"Đoạn thông tin: Granny Smith Granny Smith hay còn được gọi là táo xanh hay táo chua, là một giống táo có nguồn gốc từ Úc xuất hiện vào năm 1868. Nó được đặt tên sau khi nhà nhân giống cây trồng Maria Ann Smith tình cờ phát hiện trong một quá trình lai tạo không chủ ý. Quả táo cứng, chắc, có vỏ màu x..."
test_0048,KNOWLEDGE,0.9,"Nguồn gốc nào sau đây đã ảnh hưởng sâu sắc đến tư tưởng Chủ Tịch Hồ Chí Minh, góp phần hình thành con người cách mạng của Người?..."
test_0049,READING,1.0,"Đoạn thông tin: Title: Vũ khí hủy diệt hàng loạt Content: Vũ khí hủy diệt hàng loạt (tiếng Anh: weapon of mass destruction, gọi tắt là WMD) là loại vũ khí có khả năng gây cho đối phương tổn thất rất lớn về sinh lực, phương tiện kỹ thuật, cơ sở kinh tế, quốc phòng, môi trường sinh thái, có tác động m..."
test_0050,MATH,0.95,"Một công ty có các số dư tài khoản sau đến hết năm: Tài sản 250.000 USD, Nợ 70.000 USD, Vốn cổ phần thường 100.000 USD, Cổ tức 5.000 USD, Doanh thu 100.000 USD và Chi phí 80.000 USD. Nếu công ty phát hành cổ phiếu thường mới trị giá 20.000 USD vào năm tới, tác động đến vốn chủ sở hữu sẽ như thế nào ..."
test_0051,MATH,0.95,"Trong thị trường cạnh tranh hoàn hảo, nếu một doanh nghiệp tăng sản lượng từ 50 đơn vị lên 75 đơn vị và giá thị trường là 60 đô la mỗi đơn vị, thì doanh thu tổng của doanh nghiệp tăng bao nhiêu?..."
test_0052,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: Sony Nội dung: Công ty công nghiệp Sony (ソニー株式会社 (Sonī Chu Thức Hội Xã), Sonī kabushiki gaisha, tiếng Anh: Sony Corporation), gọi tắt là SONY, là một tập đoàn đa quốc gia của Nhật Bản, với trụ sở chính nằm tại Minato, Tokyo, Nhật Bản, và là tập đoàn điện tử đứng thứ 5 th..."
test_0053,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: home net 2 + Nội dung: Gói Home Net 2+ - Đối tượng: Cá nhân, hộ gia đình lắp đặt mới hoặc chuyển đổi gói cước tại ngoại thành Hà Nội, TP HCM và 61 tỉnh thành phố khác - Giá cước (đã có VAT): + Phí lắp đặt: 300.000 đồng/thuê bao + Cước tháng áp dụng tại nội thành Hà Nội, ..."
test_0054,MATH,1.0,"Trong một thị trường đối với một mặt hàng nhất định, cầu được cho bởi $ Q_d = 200 - 5P $ và cung được cho bởi $ Q_s = 5P - 50 $, trong đó $ Q $ là lượng và $ P $ là giá. Nếu chính phủ áp đặt một trần giá ở $ P = 10 $, thì lượng thiếu hụt trong thị trường là bao nhiêu?..."
test_0055,MATH,0.95,"Nếu tỷ lệ dự trữ là 10%, thì số nhân tiền tệ là bao nhiêu?..."
test_0056,MATH,1.0,Xét hàm số $ h(x) = x^4 - 4x^3 + 6x^2 - 4x + 1 $. Giả sử $ k(x) $ là đạo hàm bậc hai của $ h(x) $. Hàm số $ h(x) $ có bao nhiêu điểm uốn?...
test_0057,READING,1.0,"Đoạn thông tin: Title: Chùa Báo Ân Content: Chùa Báo Ân mang trong mình nhiều kỷ lục nhưng đó cũng chính là ngôi chùa được cho là ""đoản mệnh"", chỉ tồn tại vài chục năm sau khi được khánh thành với quy mô lớn. Dấu tích duy nhất còn sót lại đến ngày nay chính là tháp Hòa Phong nằm bên bờ hồ Hoàn Kiếm ..."
test_0058,KNOWLEDGE,0.9,"Thời hạn giải quyết thủ tục cấp giấy phép xây dựng (cải tạo, nâng cấp đường ngang) của Bộ Xây dựng là bao nhiêu ngày làm việc kể từ khi nhận đủ hồ sơ?..."
test_0059,KNOWLEDGE,0.9,"Nhận định: “Các thông tin được đăng tải trên trang thông tin cá nhân của người nổi tiếng có hàng nghìn người theo dõi, chia sẻ chắc chắn có nội dung thông tin chính xác”?..."
test_0060,KNOWLEDGE,0.9,Điểm khác biệt căn bản của hệ thống chính trị Việt Nam so với hệ thống chính trị được tổ chức theo cơ chế tam quyền phân lập là:...
test_0061,KNOWLEDGE,0.9,"Tỉ lệ dân thành thị của nước ta còn thấp, nguyên nhân chính là do:..."
test_0062,KNOWLEDGE,0.9,Sức mạnh dân tộc bao gồm những yếu tố chủ yếu nào?...
test_0063,MATH,1.0,"Xét một dung dịch đệm gồm axit yếu $ \text{HB} $ và bazơ liên hợp của nó $ \text{B}^- $. Giá trị $ \text{p}K_a $ của $ \text{HB} $ là 5,00. Nếu nồng độ của $ \text{HB} $ là 0,2 M và nồng độ của $ \text{B}^- $ là 0,1 M, thì giá trị pH của dung dịch là bao nhiêu?..."
test_0064,READING,1.0,"Đoạn thông tin: [1] Tiêu đề: Quyền LGBT ở Honduras Nội dung: Quyền đồng tính nữ, đồng tính nam, song tính và chuyển giới ở Honduras có thể phải đối mặt với những thách thức pháp lý mà những người không LGBT không gặp phải. Cả nam và nữ hoạt động tình dục đồng giới đều hợp pháp ở Honduras.Các cặp đồn..."
test_0065,KNOWLEDGE,0.9,"Trong kỹ thuật phân trang bộ nhớ, địa chỉ Hệ điều hành cấp cho CPU truy cập tiến trình trong bộ nhớ (gọi là địa chỉ luận lý) có dạng nào?..."
test_0066,KNOWLEDGE,0.9,Quan điểm về “Phổ cập kỹ năng số” được nêu trong Quyết định số 146/QĐ-TTg là?...
test_0067,MATH,1.0,"Trong một mô hình kinh tế đơn giản, hàm tiêu dùng được cho bởi $ C = a + bY $, trong đó $ Y $ là thu nhập quốc gia tổng cộng, $ a $ là tiêu dùng tự định, và $ b $ là xu hướng tiêu dùng biên (với $ 0 < b < 1 $). Nếu chính phủ đưa ra một mức thuế suất $ t $ sao cho $ T = tY $, và thu nhập quốc gia tổn..."
test_0068,KNOWLEDGE,0.9,"Ô-guyt-xtanh nhà thần học, chính trị học phương Tây thời trung cổ khẳng định “Quyền lực là sở hữu cá nhân là một sai lầm cơ bản”. Ông cho rằng quyền lực chính trị phải thuộc về:..."
test_0069,MATH,1.0,"Xét phương trình vi phân riêng phần (PDE) $ u_t = u_{xx} $ với điều kiện ban đầu $ u(x,0) = \sin(x) $ và các điều kiện biên $ u(0,t) = u(\pi,t) = 0 $. Giá trị của nghiệm $ u(x,t) $ tại $ t = 1 $ là gì?..."
test_0070,KNOWLEDGE,0.9,"Theo quy trình cấp Chứng nhận trường mầm non đạt kiểm định chất lượng giáo dục, thành phần hồ sơ bắt buộc gồm những tài liệu nào?..."
test_0071,MATH,0.95,"Một thanh kim loại có chiều dài 1 mét và diện tích mặt cắt ngang 0,01 m² ban đầu ở nhiệt độ đồng nhất là 50°C. Một đầu của thanh đột ngột tiếp xúc với nguồn nhiệt duy trì nhiệt độ không đổi là 150°C, trong khi đầu còn lại được giữ ở 0°C. Hệ số dẫn nhiệt của kim loại là 40 W/(m·K), và nhiệt dung riên..."
test_0072,MATH,0.95,"Tiệm bán lẻ đang phân tích tỷ lệ luân chuyển hàng tồn kho, được tính bằng chi phí hàng hóa bán ra (COGS) chia cho hàng tồn kho trung bình. Chi phí hàng hóa bán ra của tiệm trong năm vừa qua là 500.000 đô la, và tiệm dự định tăng COGS lên 10% trong năm tới. Nếu tiệm muốn duy trì tỷ lệ luân chuyển hàn..."
test_0073,KNOWLEDGE,0.9,"Trong cặp NST (nhiễm sắc thể) tương đồng, 2 NST có nguồn gốc từ đâu?..."
test_0074,KNOWLEDGE,0.9,Thế gian trụ trì Phật bảo là chỉ cho gì?...
test_0075,KNOWLEDGE,0.9,Con người là động vật chính trị là quan điểm của nhà chính trị học nào?...
test_0076,MATH,0.95,"Một tia sáng đi vào một khối thủy tinh với góc tới là 30 độ. Chỉ số khúc xạ của thủy tinh là 1,5. Hỏi góc khúc xạ khi tia sáng thoát khỏi khối thủy tinh ra không khí là bao nhiêu?..."
test_0077,MATH,1.0,Một công ty đang phân tích chi phí quý của mình và nhận thấy rằng chi phí trong mỗi quý có thể được mô hình hóa bởi các phương trình sau: - Q1: $ E_1 = 3000 + 100y $ - Q2: $ E_2 = 4000 + 150y $ - Q3: $ E_3 = 5000 + 200y $ - Q4: $ E_4 = 6000 + 250y $ trong đó $ y $ là một biến chưa biết biểu thị tác ...
test_0078,MATH,1.0,"Một hạt chuyển động dọc theo trục x với vị trí được cho bởi hàm số $ x(t) = t^3 - 3t^2 + 3t + 1 $ mét, trong đó $ t $ tính bằng giây. Hạt đó đạt được vận tốc nhỏ nhất tại thời điểm $ t $ nào?..."
test_0079,KNOWLEDGE,0.9,"Đối với chương trình đào tạo chuyên sâu đặc thù trình độ bậc 7, yêu cầu số lượng giảng viên cơ hữu là bao nhiêu?..."
test_0080,MATH,0.95,Tính nhân văn của văn hóa chính trị biểu hiện ở chỗ:...
test_0081,MATH,0.95,"Một doanh nghiệp hoạt động trong thị trường cạnh tranh hoàn hảo và đối mặt với các hàm chi phí sau: - Tổng chi phí (TC) = 400 + 15Q + 3Q^2 - Chi phí biên (MC) = 15 + 6Q - Chi phí trung bình tổng (ATC) = (400/Q) + 15 + 3Q Cho biết giá thị trường là P = 45, và doanh nghiệp đang sản xuất ở mức sản lượn..."
test_0082,MATH,1.0,"Một nghiên cứu được thực hiện để xác định xem một phương pháp giảng dạy mới có cải thiện hiệu suất của học sinh trên bài kiểm tra chuẩn hóa hay không. Giả thuyết không $ H_0 $ là phương pháp mới không có tác động, và giả thuyết thay thế $ H_1 $ là phương pháp mới cải thiện hiệu suất. Điểm trung bình..."
test_0083,MATH,1.0,"Một quả bóng có khối lượng $ m $ được ném theo phương ngang từ đỉnh một tòa tháp có chiều cao $ h $ với vận tốc ban đầu $ v_0 $. Bỏ qua lực cản không khí, biểu thức nào sau đây mô tả chính xác vận tốc $ v $ của quả bóng ngay trước khi nó chạm đất?..."
test_0084,KNOWLEDGE,0.9,Ngôi chùa Ba La Mật được khai dựng vào năm nào?...
test_0085,MATH,1.0,"Một hạt đang chuyển động với tốc độ $0.6c$, trong đó $c$ là tốc độ ánh sáng. Động lượng tương đối $p$ của hạt là bao nhiêu nếu khối lượng nghỉ của nó là $m_0$?..."
test_0086,MATH,0.95,Chất liệu nào được sử dụng làm chất nền của đĩa cứng hiện đại để cải thiện độ đồng đều của bề mặt từ tính và giảm lỗi đọc/ghi?...
test_0087,KNOWLEDGE,0.9,"Theo quy định mới từ ngày 1/7/2025, Việt Nam sẽ áp dụng mô hình hành chính bao nhiêu cấp?..."
test_0088,KNOWLEDGE,0.9,Tại sao việc xác định mục tiêu hoạt động là quan trọng đối với doanh nghiệp?...
test_0089,KNOWLEDGE,0.9,"Trong bối cảnh luật hình sự, câu hỏi nào dưới đây mô tả chính xác nhất thuật ngữ ""actus reus""?..."
